Oxyura leucocephala
Hippolais icterina
Acrocephalus paludicola
Acrocephalus melanopogon
Acrocephalus schoenobaenus
Acrocephalus dumetorum
Acrocephalus palustris
Acrocephalus scirpaceus
Acrocephalus agricola
Acrocephalus arundinaceus
Delichon urbicum
Cecropis daurica
Hirundo rustica
Riparia riparia
Phylloscopus bonelli
Phylloscopus sibilatrix
Phylloscopus inornatus
Phylloscopus humei
Phylloscopus proregulus
Phylloscopus fuscatus
Phylloscopus trochilus
Phylloscopus ibericus
Phylloscopus collybita
Phylloscopus schwarzi
Phylloscopus trochiloides
Phylloscopus borealis
Aegithalos caudatus
Sylvia atricapilla
Sylvia borin
Curruca nisoria
Curruca curruca
Curruca cantillans
Curruca iberiae
Curruca melanocephala
Curruca communis
Regulus regulus
Regulus ignicapilla
Bombycilla garrulus
Sitta europaea
Certhia familiaris
Certhia brachydactyla
Tichodroma muraria
Troglodytes troglodytes
Sturnus vulgaris
Pastor roseus
Cinclus cinclus
Muscicapa striata
Erithacus rubecula
Larvivora sibilans
Luscinia megarhynchos
Luscinia luscinia
Luscinia svecica
Tarsiger cyanurus
Ficedula parva
Ficedula hypoleuca
Ficedula albicollis
Phoenicurus phoenicurus
Phoenicurus ochruros
Monticola saxatilis
Saxicola rubetra
Saxicola maurus
Saxicola rubicola
Oenanthe oenanthe
Oenanthe isabellina
Oenanthe deserti
Oenanthe pleschanka
Oenanthe leucopyga
Zoothera aurea
Geokichla sibirica
Turdus viscivorus
Turdus philomelos
Turdus iliacus
Turdus merula
Turdus obscurus
Turdus pilaris
Turdus torquatus
Turdus naumanni
Turdus eunomus
Turdus atrogularis
Turdus ruficollis
Prunella collaris
Prunella montanella
Prunella atrogularis
Prunella modularis
Passer domesticus
Passer montanus
Petronia petronia
Montifringilla nivalis
Anthus trivialis
Anthus hodgsoni
Anthus cervinus
Anthus pratensis
Anthus spinoletta
Anthus petrosus
Anthus richardi
Anthus godlewskii
Anthus campestris
Motacilla flava
Motacilla tschutschensis
Motacilla cinerea
Motacilla citreola
Motacilla alba
Fringilla coelebs
Fringilla montifringilla
Coccothraustes coccothraustes
Carpodacus erythrinus
Pinicola enucleator
Pyrrhula pyrrhula
Bucanetes githagineus
Chloris chloris
Linaria cannabina
Linaria flavirostris
Acanthis cabaret
Acanthis flammea
Acanthis hornemanni
Loxia pytyopsittacus
Loxia curvirostra
Loxia leucoptera
Carduelis carduelis
Carduelis citrinella
Serinus serinus
Spinus spinus
Calcarius lapponicus
Plectrophenax nivalis
Emberiza calandra
Emberiza citrinella
Emberiza leucocephalos
Emberiza cia
Emberiza hortulana
Emberiza cirlus
Schoeniclus pusillus
Schoeniclus chrysophrys
Schoeniclus rusticus
Schoeniclus aureolus
Granativora melanocephala
Granativora bruniceps
Emberiza spodocephala
Schoeniclus schoeniclus
Junco hyemalis
Passerculus sandwichensis
